Iteration,H,Number of connected components,Maximum number of connected components,Number of connected components / Maximum number of connected components,Volume largest connected component,Total Volume,Largest volume / Total volume,Is percolating
1,1,13,52,0.25,512,3668,0.139586,0
1,0.996094,15,52,0.288462,512,4148,0.123433,0
1,0.992188,17,52,0.326923,512,4500,0.113778,0
1,0.988281,19,52,0.365385,512,5460,0.0937729,0
1,0.984375,21,52,0.403846,512,6196,0.082634,0
1,0.980469,22,52,0.423077,992,7156,0.138625,0
1,0.976563,24,52,0.461538,992,7860,0.126209,0
1,0.972656,26,52,0.5,992,8207.88,0.12086,0
1,0.96875,27,52,0.519231,992,8897.88,0.111487,0
1,0.964844,28,52,0.538462,992,9889.88,0.100305,0
1,0.960938,30,52,0.576923,992,10657.9,0.0930767,0
1,0.957031,32,52,0.615385,992,11393.9,0.0870643,0
1,0.953125,33,52,0.634615,992,12129.9,0.0817816,0
1,0.949219,34,52,0.653846,992,12865.9,0.0771032,0
1,0.945313,36,52,0.692308,992,13587.9,0.0730063,0
1,0.941406,37,52,0.711538,1504,14579.9,0.103156,0
1,0.9375,38,52,0.730769,1504,15315.9,0.0981988,0
1,0.933594,38,52,0.730769,1504,15827.9,0.0950222,0
1,0.929688,39,52,0.75,1504,16851.9,0.0892482,0
1,0.925781,38,52,0.730769,1904,17587.9,0.108256,0
1,0.921875,40,52,0.769231,1904,18179.9,0.104731,0
1,0.917969,41,52,0.788462,1904,19109.9,0.0996343,0
1,0.914063,41,52,0.788462,2528,19845.9,0.127382,0
1,0.910156,42,52,0.807692,2528,20469.9,0.123499,0
1,0.90625,44,52,0.846154,2528,21175.9,0.119381,0
1,0.902344,46,52,0.884615,2528,21641.9,0.116811,0
1,0.898438,46,52,0.884615,2528,22089.9,0.114442,0
1,0.894531,46,52,0.884615,2528,22841.9,0.110674,0
1,0.890625,47,52,0.903846,2528,23402.9,0.108021,0
1,0.886719,48,52,0.923077,2528,24332.9,0.103892,0
1,0.882813,49,52,0.942308,2528,24598.9,0.102769,0
1,0.878906,49,52,0.942308,2528,24936.9,0.101376,0
1,0.875,50,52,0.961538,2528,25896.9,0.097618,0
1,0.871094,49,52,0.942308,3040,26664.9,0.114008,0
1,0.867188,48,52,0.923077,3040,27032.9,0.112456,0
1,0.863281,46,52,0.884615,3040,27480.9,0.110622,0
1,0.859375,47,52,0.903846,3040,28009.9,0.108533,0
1,0.855469,48,52,0.923077,3040,28601.9,0.106287,0
1,0.851563,48,52,0.923077,3040,29169.9,0.104217,0
1,0.847656,49,52,0.942308,3040,29665.9,0.102475,0
1,0.84375,50,52,0.961538,3040,30689.9,0.0990555,0
1,0.839844,50,52,0.961538,3040,31713.9,0.0958571,0
1,0.835938,51,52,0.980769,3040,32449.9,0.093683,0
1,0.832031,51,52,0.980769,3040,33153.9,0.0916937,0
1,0.828125,51,52,0.980769,3040,33676.8,0.09027,0
1,0.824219,51,52,0.980769,3040,34268.8,0.0887106,0
1,0.820313,52,52,1,3040,34990.8,0.0868801,0
1,0.816406,50,52,0.961538,3812,35694.8,0.106794,0
1,0.8125,50,52,0.961538,3812,36318.8,0.10496,0
1,0.808594,50,52,0.961538,3812,36798.8,0.10359,0
1,0.804688,50,52,0.961538,3812,37136.8,0.102648,0
1,0.800781,50,52,0.961538,3812,37858.8,0.10069,0
1,0.796875,49,52,0.942308,3812,38882.8,0.0980383,0
1,0.792969,47,52,0.903846,5072,39650.8,0.127917,0
1,0.789063,46,52,0.884615,5344,40402.8,0.132268,0
1,0.785156,44,52,0.846154,5344,41076.8,0.130098,0
1,0.78125,43,52,0.826923,5344,41844.8,0.12771,0
1,0.777344,43,52,0.826923,5856,42454.8,0.137935,0
1,0.773438,44,52,0.846154,5856,43222.8,0.135484,0
1,0.769531,44,52,0.846154,5856,43958.8,0.133216,0
1,0.765625,44,52,0.846154,5856,44408.8,0.131866,0
1,0.761719,43,52,0.826923,5856,45176.8,0.129624,0
1,0.757813,45,52,0.865385,5856,45416.8,0.128939,0
1,0.753906,47,52,0.903846,5856,45896.8,0.127591,0
1,0.75,46,52,0.884615,5856,46344.8,0.126357,0
1,0.746094,46,52,0.884615,5856,46792.8,0.125148,0
1,0.742188,45,52,0.865385,5856,47114.8,0.124292,0
1,0.738281,46,52,0.884615,5856,48044.8,0.121886,0
1,0.734375,46,52,0.884615,6087,48734.8,0.124901,0
1,0.730469,45,52,0.865385,9184,49039.8,0.187277,0
1,0.726563,44,52,0.846154,9184,49617.8,0.185095,0
1,0.722656,44,52,0.846154,9184,50369.8,0.182332,0
1,0.71875,45,52,0.865385,9184,50979.8,0.18015,0
1,0.714844,45,52,0.865385,9184,51235.8,0.17925,0
1,0.710938,44,52,0.846154,9184,51909.8,0.176922,0
1,0.707031,42,52,0.807692,9184,52677.8,0.174343,0
1,0.703125,42,52,0.807692,9184,52957.8,0.173421,0
1,0.699219,41,52,0.788462,9184,53557.8,0.171478,0
1,0.695313,39,52,0.75,9184,54021.8,0.170006,0
1,0.691406,39,52,0.75,10596,54757.8,0.193507,0
1,0.6875,39,52,0.75,11108,55381.8,0.200571,0
1,0.683594,37,52,0.711538,11108,56149.8,0.197828,0
1,0.679688,35,52,0.673077,14865,56734.8,0.262009,0
1,0.675781,34,52,0.653846,15345,57664.8,0.266107,0
1,0.671875,34,52,0.653846,15345,58384.8,0.262825,0
1,0.667969,33,52,0.634615,22929,59120.8,0.387833,0
1,0.664063,32,52,0.615385,22929,59856.8,0.383065,0
1,0.660156,33,52,0.634615,23153,60277.6,0.384106,0
1,0.65625,32,52,0.615385,33617,61045.6,0.550686,0
1,0.652344,31,52,0.596154,33617,61735.6,0.544532,0
1,0.648438,30,52,0.576923,48667,62759.6,0.775451,0
1,0.644531,30,52,0.576923,49115,63207.6,0.777042,0
1,0.640625,28,52,0.538462,49355,63703.6,0.77476,1
1,0.636719,26,52,0.5,51201,64439.6,0.794558,1
1,0.632813,27,52,0.519231,51713,65063.6,0.794807,1
1,0.628906,27,52,0.519231,52435,65785.6,0.797059,1
1,0.625,27,52,0.519231,52435,66265.6,0.791285,1
1,0.621094,26,52,0.5,54163,66969.6,0.80877,1
1,0.617188,26,52,0.5,54853,67659.6,0.81072,1
1,0.613281,26,52,0.5,55575,68381.6,0.812718,1
1,0.609375,27,52,0.519231,56087,69021.6,0.8126,1
1,0.605469,24,52,0.461538,58253,69343.6,0.840063,1
1,0.601563,24,52,0.461538,58477,69807.6,0.837688,1
1,0.597656,23,52,0.442308,59485,70303.6,0.846116,1
1,0.59375,23,52,0.442308,60237,71055.6,0.847744,1
1,0.589844,21,52,0.403846,62285,71679.6,0.868936,1
1,0.585938,21,52,0.403846,62733,72127.6,0.86975,1
1,0.582031,20,52,0.384615,63877,72863.6,0.876665,1
1,0.578125,20,52,0.384615,64901,73887.6,0.878374,1
1,0.574219,19,52,0.365385,70229,74367.6,0.944349,1
1,0.570313,16,52,0.307692,71237,74815.6,0.952167,1
1,0.566406,16,52,0.307692,71717,75807.6,0.946039,1
1,0.5625,15,52,0.288462,71973,76155.5,0.945079,1
1,0.558594,14,52,0.269231,72681,76765.5,0.946792,1
1,0.554688,13,52,0.25,73161,77117.5,0.948695,1
1,0.550781,13,52,0.25,74185,78141.5,0.949368,1
1,0.546875,13,52,0.25,74747,78703.5,0.949729,1
1,0.542969,12,52,0.230769,75867,79327.5,0.956377,1
1,0.539063,12,52,0.230769,76859,80319.5,0.956916,1
1,0.535156,11,52,0.211538,77523,80815.5,0.959259,1
1,0.53125,11,52,0.211538,78515,81807.5,0.959753,1
1,0.527344,11,52,0.211538,78995,82287.5,0.959988,1
1,0.523438,11,52,0.211538,79605,82897.5,0.960282,1
1,0.519531,10,52,0.192308,80137,83219.5,0.962959,1
1,0.515625,10,52,0.192308,80587,84181.5,0.957301,1
1,0.511719,9,52,0.173077,81339,84677.5,0.960574,1
1,0.507813,9,52,0.173077,82043,85381.5,0.960899,1
1,0.503906,9,52,0.173077,82811,86149.5,0.961248,1
1,0.5,9,52,0.173077,83835,87173.5,0.961703,1
1,0.496094,9,52,0.173077,84827,88165.5,0.962134,1
1,0.492188,8,52,0.153846,87085,88887.5,0.979722,1
1,0.488281,8,52,0.153846,87446,89248.5,0.979804,1
1,0.484375,8,52,0.153846,87799,89601.5,0.979883,1
1,0.480469,8,52,0.153846,88551,90353.5,0.980051,1
1,0.476563,8,52,0.153846,88919,90721.5,0.980132,1
1,0.472656,8,52,0.153846,89400,91202.5,0.980236,1
1,0.46875,8,52,0.153846,90392,92194.5,0.980449,1
1,0.464844,8,52,0.153846,91112,92914.5,0.9806,1
1,0.460938,8,52,0.153846,91816,93618.5,0.980746,1
1,0.457031,8,52,0.153846,92312,94114.5,0.980848,1
1,0.453125,7,52,0.134615,93354,94706.5,0.985719,1
1,0.449219,6,52,0.115385,93866,95282.5,0.985134,1
1,0.445313,6,52,0.115385,94602,96018.5,0.985248,1
1,0.441406,5,52,0.0961538,95290,96386.5,0.988624,1
1,0.4375,5,52,0.0961538,95674,96770.5,0.988669,1
1,0.433594,5,52,0.0961538,96314,97410.5,0.988743,1
1,0.429688,5,52,0.0961538,97050,98146.5,0.988828,1
1,0.425781,5,52,0.0961538,97980,99076.5,0.988933,1
1,0.421875,5,52,0.0961538,98700,99796.5,0.989013,1
1,0.417969,4,52,0.0769231,99550,100263,0.992894,1
1,0.414063,4,52,0.0769231,100542,101255,0.992963,1
1,0.410156,4,52,0.0769231,101022,101735,0.992996,1
1,0.40625,4,52,0.0769231,102014,102727,0.993064,1
1,0.402344,3,52,0.0576923,102718,103191,0.995421,1
1,0.398438,3,52,0.0576923,103230,103703,0.995444,1
1,0.394531,3,52,0.0576923,104222,104695,0.995487,1
